year,Country Type,Country/City,"Average National Exam Score: Junior Secondary Level (out of 100, available only in district level for 2009)","Average National Exam Score: Primary Level (out of 100, available only in district level for 2009)","Average National Exam Score: Senior Secondary Level (out of 100, available only in district level for 2009)",Education function expenditure (in IDR),Human Development Index,Monthly Per Capita Household Education Expenditure (in IDR),Net Enrollment Ratio: Junior Secondary (in %),Net Enrollment Ratio: Primary (in %),Net Enrollment Ratio: Senior Secondary (in %),Number of schools at junior secondary level,Number of schools at primary level,Number of schools at Senior Secondary level,"Number of Student: Junior Secondary Level (in number of people, 2009 data only)","Number of Student: Primary Level (in number of people, 2009 data only)","Number of Student: Senior Secondary Level (in number of people, 2009 data only)","Number of Teacher: Junior Secondary Level (in number of people, 2009 data only)","Number of Teacher: Primary Level (in number of people, 2009 data only)","Number of Teacher: Senior Secondary Level (in number of people, 2009 data only)",Total Specific Allocation Grant for Education (in IDR Billion)
2002,Kab,Musi Rawas,0.0,0.0,0.0,65322899886.0,0.0,3980.0,50.52,91.27,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,Kab,Musi Rawas,0.0,0.0,0.0,85285278518.0,0.0,3701.0,53.91,92.84999999999991,27.85,94.0,508.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,Kab,Musi Rawas,0.0,0.0,0.0,86134527512.0,64.37231,3189.0,46.44,91.77,12.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2005,Kab,Musi Rawas,0.0,0.0,0.0,85092729218.0,65.02714,4130.0,41.36,93.52,21.5,89.0,472.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,Kab,Musi Rawas,0.0,0.0,0.0,107874406247.0,65.64933,4302.0,60.62,94.28,31.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1
2007,Kab,Musi Rawas,0.0,0.0,0.0,123721329651.0,66.30895,9465.0,63.43,91.89,32.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.077
2008,Kab,Musi Rawas,0.0,0.0,0.0,147600000000.0,66.77411,0.0,64.44,92.91,28.65,118.0,474.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,21.752
2009,Kab,Musi Rawas,73.86695999999999,61.28912,72.17725,226747364028.0,0.0,14815.0,77.15,90.45,27.87,0.0,0.0,0.0,11275.0,71411.0,7318.0,1132.0,4145.0,465.0,27.609
2010,Kab,Musi Rawas,0.0,0.0,0.0,255721207601.0,0.0,14317.0,59.89,95.62,26.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,Kab,Musi Rawas,0.0,0.0,0.0,332268442524.0,68.38,15322.0,63.35,93.15,25.41,125.0,476.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,Kab,Musi Rawas,0.0,0.0,0.0,316500000000.0,0.0,20504.0,72.9,94.42,51.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,Kab,Musi Rawas,0.0,0.0,0.0,0.0,69.57,22186.8,78.403076,98.58228299999999,45.328509999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,Kab,Musi Rawas,0.0,0.0,0.0,0.0,0.0,20694.77,78.76,98.64,46.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Kab,Musi Rawas,0.0,0.0,0.0,0.0,0.0,0.0,83.59,98.63,60.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,Kab,Musi Rawas,0.0,0.0,0.0,0.0,0.0,0.0,89.25,99.18,55.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed: 45,Kab,Musi Rawas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,Kab,Nabire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1977,Kab,Nabire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1978,Kab,Nabire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979,Kab,Nabire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,Kab,Nabire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,Kab,Nabire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,Kab,Nabire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,Kab,Nabire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,Kab,Nabire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Kab,Nabire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Kab,Nabire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,Kab,Nabire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,Kab,Nabire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,Kab,Nabire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Kab,Nabire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,Kab,Nabire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,Kab,Nabire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,Kab,Nabire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,Kab,Nabire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,Kab,Nabire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,Kab,Nabire,0.0,0.0,0.0,0.0,0.0,665.0,41.88,62.92,13.95,31.0,292.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,Kab,Nabire,0.0,0.0,0.0,0.0,0.0,821.0,37.64,78.78,6.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,Kab,Nabire,0.0,0.0,0.0,0.0,0.0,1303.0,41.27,58.28,24.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,Kab,Nabire,0.0,0.0,0.0,0.0,0.0,828.0,47.01,72.19,20.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,Kab,Nabire,0.0,0.0,0.0,0.0,0.0,1307.0,31.06,68.53,20.9,24.0,114.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,Kab,Nabire,0.0,0.0,0.0,45911953287.0,0.0,4139.0,31.18,79.59,37.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,Kab,Nabire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,Kab,Nabire,0.0,0.0,0.0,0.0,0.0,1741.0,68.34,95.58,28.95,23.0,120.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3
2004,Kab,Nabire,0.0,0.0,0.0,56345307043.0,63.04458,5267.0,38.46,90.37,27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2005,Kab,Nabire,0.0,0.0,0.0,66517153277.0,65.08402,16883.0,53.08,66.41,49.16,30.0,138.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.77
2006,Kab,Nabire,0.0,0.0,0.0,84716073477.0,65.19354,8478.0,45.78,75.09,35.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.99
2007,Kab,Nabire,0.0,0.0,0.0,95273257500.0,65.60245,5541.0,60.11,90.17,28.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.368
2008,Kab,Nabire,0.0,0.0,0.0,149700000000.0,66.10394000000001,0.0,63.08,94.65,43.43,12.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.793
2009,Kab,Nabire,73.05242,52.503730000000004,67.39095,122939811000.0,0.0,19035.0,66.64,89.39,53.53,0.0,0.0,0.0,289.0,17237.0,156.0,495.0,1252.0,451.0,12.793
2010,Kab,Nabire,0.0,0.0,0.0,135973660576.0,0.0,19036.0,72.0,88.88,55.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,Kab,Nabire,0.0,0.0,0.0,152213974735.0,48.74,19026.0,56.95,76.52,47.65,37.0,100.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,Kab,Nabire,0.0,0.0,0.0,164500000000.0,0.0,29894.0,42.4,75.87,45.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,Kab,Nabire,0.0,0.0,0.0,0.0,68.49,29831.06,57.406605000000006,81.31088299999999,59.5914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,Kab,Nabire,0.0,0.0,0.0,0.0,0.0,43969.62,67.63,86.8,67.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Kab,Nabire,0.0,0.0,0.0,0.0,0.0,0.0,72.86,80.59,61.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,Kab,Nabire,0.0,0.0,0.0,0.0,0.0,0.0,70.37,89.43,65.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed: 45,Kab,Nabire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,Kab,Nagan Raya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1977,Kab,Nagan Raya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1978,Kab,Nagan Raya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979,Kab,Nagan Raya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,Kab,Nagan Raya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,Kab,Nagan Raya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,Kab,Nagan Raya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,Kab,Nagan Raya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,Kab,Nagan Raya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Kab,Nagan Raya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Kab,Nagan Raya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,Kab,Nagan Raya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,Kab,Nagan Raya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,Kab,Nagan Raya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Kab,Nagan Raya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,Kab,Nagan Raya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,Kab,Nagan Raya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,Kab,Nagan Raya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,Kab,Nagan Raya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,Kab,Nagan Raya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,Kab,Nagan Raya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,Kab,Nagan Raya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,Kab,Nagan Raya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,Kab,Nagan Raya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,Kab,Nagan Raya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,Kab,Nagan Raya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,Kab,Nagan Raya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,Kab,Nagan Raya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,116.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.515
2004,Kab,Nagan Raya,0.0,0.0,0.0,0.0,65.52579,2454.0,60.02,96.23,44.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7
2005,Kab,Nagan Raya,0.0,0.0,0.0,0.0,66.34489,0.0,0.0,0.0,0.0,24.0,111.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.35
2006,Kab,Nagan Raya,0.0,0.0,0.0,69176191331.0,66.87897,5503.0,63.51,90.41,47.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.23
2007,Kab,Nagan Raya,0.0,0.0,0.0,77735786126.28,67.64296999999999,7896.0,75.54,97.12,68.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.164
2008,Kab,Nagan Raya,0.0,0.0,0.0,95610000000.0,68.46545,0.0,72.34,98.65,65.51,11.0,37.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,13.56
2009,Kab,Nagan Raya,77.28467999999991,66.04845999999999,69.26731,136630392081.0,0.0,18205.0,70.95,95.59,56.86,0.0,0.0,0.0,465.0,16460.0,172.0,121.0,625.0,127.0,13.56
2010,Kab,Nagan Raya,0.0,0.0,0.0,151347928829.0,0.0,15490.0,84.20999999999991,98.48,65.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,Kab,Nagan Raya,0.0,0.0,0.0,178775992802.0,69.68,11258.0,76.64,88.74,65.24,41.0,148.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,Kab,Nagan Raya,0.0,0.0,0.0,181500000000.0,0.0,12513.0,84.09,94.02,66.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,Kab,Nagan Raya,0.0,0.0,0.0,0.0,71.5,10574.89,82.164574,91.549065,63.590187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,Kab,Nagan Raya,0.0,0.0,0.0,0.0,0.0,16274.22,86.5,94.64,75.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Kab,Nagan Raya,0.0,0.0,0.0,0.0,0.0,0.0,83.68,97.47,80.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,Kab,Nagan Raya,0.0,0.0,0.0,0.0,0.0,0.0,88.79,98.68,72.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed: 45,Kab,Nagan Raya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,Kab,Nagekeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1977,Kab,Nagekeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1978,Kab,Nagekeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979,Kab,Nagekeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,Kab,Nagekeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,Kab,Nagekeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,Kab,Nagekeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,Kab,Nagekeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,Kab,Nagekeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Kab,Nagekeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Kab,Nagekeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,Kab,Nagekeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,Kab,Nagekeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,Kab,Nagekeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Kab,Nagekeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,Kab,Nagekeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,Kab,Nagekeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,Kab,Nagekeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,Kab,Nagekeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,Kab,Nagekeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,Kab,Nagekeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,Kab,Nagekeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,Kab,Nagekeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,Kab,Nagekeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,Kab,Nagekeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,Kab,Nagekeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,Kab,Nagekeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,Kab,Nagekeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,Kab,Nagekeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,Kab,Nagekeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,Kab,Nagekeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,Kab,Nagekeo,0.0,0.0,0.0,0.0,65.32172,7000.0,74.4,95.52,43.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,Kab,Nagekeo,0.0,0.0,0.0,46050000000.0,65.73074,0.0,80.51,96.87,35.09,39.0,155.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4.065
2009,Kab,Nagekeo,64.60834,63.48085,62.59394,87687558338.0,0.0,16626.0,63.06,89.95999999999991,40.25,0.0,0.0,0.0,0.0,2916.0,0.0,508.0,1714.0,228.0,4.065
2010,Kab,Nagekeo,0.0,0.0,0.0,93518637447.0,0.0,14001.0,58.28,94.12,40.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,Kab,Nagekeo,0.0,0.0,0.0,121351478114.0,66.59,19137.0,67.18,92.13,47.15,46.0,156.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,Kab,Nagekeo,0.0,0.0,0.0,156900000000.0,0.0,19143.0,71.18,92.49,34.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,Kab,Nagekeo,0.0,0.0,0.0,0.0,67.93,20458.91,65.435059,94.128326,57.816421999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,Kab,Nagekeo,0.0,0.0,0.0,0.0,0.0,20367.7,72.84,96.2,58.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Kab,Nagekeo,0.0,0.0,0.0,0.0,0.0,0.0,76.77,98.74,51.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,Kab,Nagekeo,0.0,0.0,0.0,0.0,0.0,0.0,74.93,95.25,51.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed: 45,Kab,Nagekeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,Prop.,Nanggroe Aceh Darussalam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1977,Prop.,Nanggroe Aceh Darussalam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1978,Prop.,Nanggroe Aceh Darussalam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979,Prop.,Nanggroe Aceh Darussalam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,Prop.,Nanggroe Aceh Darussalam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
